Ciutat,IncidènciaacumuladaPCR+,IncidènciaacumuladaPCR+14
Ademuz,23722,1157
Ador,19537,3583
Adsubia,4091,491
Agost,9929,1168
Agres,7269,0
Agullent,6825,1549
Aielo de Malferit,11005,1102
Aielo de Rugat,3750,0
Aigües,4259,507
Alaquàs,12463,1864
Albaida,16317,2570
Albal,11328,1761
Albalat de la Ribera,10042,1262
Albalat dels Sorells,10579,2626
Albalat dels Tarongers,8857,1076
Albatera,12746,1763
Alberic,14839,1597
Albocàsser,17033,815
Alborache,5939,244
Alboraya,13997,1899
Albuixech,11105,1445
Alcalalí,3917,998
Alcalà de Xivert,13000,1205
Alcocer de Planes,4867,1327
Alcoleja,15254,0
Alcora (l'),13852,1641
Alcoy/Alcoi,15544,2181
Alcublas,1963,163
Alcudia de Veo,5851,1063
Alcàntera de Xúquer,7829,596
Alcàsser,12799,1176
Alcúdia (l'),14347,1668
Alcúdia de Crespins (l'),14746,1936
Aldaia,13610,2102
Alfafar,15064,2449
Alfafara,13793,246
Alfara de la Baronía,10369,2636
Alfara del Patriarca,5819,578
Alfarp,7192,1273
Alfarrasí,12387,1066
Alfauir,4454,222
Alfondeguilla,6728,1392
Alfàs del Pi (l'),11480,1017
Algar de Palancia,6313,2036
Algemesí,15399,2544
Algimia de Alfara,9306,759
Algimia de Almonacid,3816,0
Alginet,13639,2314
Algorfa,6848,2
Algueña,8220,1432
Alicante/Alacant,12734,1419
Almazora/Almassora,12515,1821
Almedíjar,3278,409
Almenara,12676,2118
Almiserà,1509,0
Almoines,10617,1372
Almoradí,14414,1150
Almudaina,1834,0
Almussafes,10090,2171
Almàssera,16200,2325
Alpuente,3622,0
Alqueria d'Asnar (l'),11764,811
Alqueria de la Comtessa (l'),11096,1270
Alquerías del Niño Perdido,11648,1478
Altea,11738,1613
Altura,8914,1138
Alzira,12628,1139
Andilla,649,0
Anna,15258,1644
Antella,6136,1123
Aras de los Olmos,3064,557
Arañuel,662,0
Ares del Maestrat,2717,0
Argelita,793,0
Artana,15140,1739
Aspe,11334,1086
Atzeneta d'Albaida,10068,774
Atzeneta del Maestrat,18711,1457
Ayora,17982,3558
Ayódar,13071,0
Azuébar,8709,645
Aín,3252,0
Balones,13281,0
Banyeres de Mariola,19633,3483
Barracas,14285,0
Barx,12739,2455
Barxeta,12736,1387
Bejís,4851,0
Bellreguard,21394,3594
Bellús,4013,334
Benafer,1219,0
Benafigos,1449,0
Benaguasil,11922,1350
Benagéber,11111,0
Benasal,11006,564
Benasau,3846,1923
Benavites,11755,1880
Beneixama,8875,828
Beneixida,6379,478
Benejúzar,11885,1140
Benetússer,15900,67
Benferri,9618,1068
Beniarbeig,5419,463
Beniardá,2000,0
Beniarjó,13752,1867
Beniarrés,15559,1091
Beniatjar,7305,1369
Benicarló,13847,1542
Benicasim/Benicàssim,14490,2205
Benicolet,16027,3658
Benicull de Xúquer,7633,2003
Benidoleig,3896,1205
Benidorm,14782,1334
Benifairó de la Valldigna,8921,1347
Benifairó de les Valls,8676,1310
Benifaió,17782,1868
Benifallim,5769,0
Benifato,1470,0
Beniflá,217,0
Benigembla,3837,902
Benigánim,23325,1678
Benijófar,10112,1093
Benilloba,15977,2066
Benillup,6000,0
Benimantell,14285,1006
Benimarfull,5303,0
Benimassot,4854,0
Benimeli,5128,1631
Benimodo,5281,1188
Benimuslem,4647,0
Beniparrell,11215,1191
Benirredrà,22636,3408
Benisanó,11523,1091
Benissa,13288,1718
Benissoda,8796,1851
