Ciutat,Incidència acumulada PCR+,Incidència acumulada PCR+14
Ademuz,32208,2796
Ador,42254,17109
Adsubia,5237,654
Agost,18335,6257
Agres,10992,2659
Agullent,10594,2805
Aielo de Malferit,15329,3286
Aielo de Rugat,5625,1250
Aigües,9229,2738
Alaquàs,18403,4143
Albaida,24264,6340
Albal,15949,3046
Albalat de la Ribera,15093,3577
Albalat dels Sorells,15039,3320
Albalat dels Tarongers,10844,910
Albatera,17099,2613
Alberic,21123,3964
Albocàsser,31947,13854
Alborache,9113,1708
Alboraya,18063,1915
Albuixech,14261,1300
Alcalalí,4377,384
Alcalà de Xivert,20789,5423
Alcocer de Planes,8849,1769
Alcoleja,18644,2824
Alcora (l'),22069,5558
Alcoy/Alcoi,22493,5145
Alcublas,5400,1636
Alcudia de Veo,7978,1063
Alcàntera de Xúquer,11558,2833
Alcàsser,17408,3207
Alcúdia (l'),19823,4022
Alcúdia de Crespins (l'),21885,4869
Aldaia,18190,2990
Alfafar,18537,2238
Alfafara,15763,1724
Alfara de la Baronía,14059,1054
Alfara del Patriarca,7800,1371
Alfarp,9739,1464
Alfarrasí,17965,3855
Alfauir,7795,2449
Alfondeguilla,10904,4176
Alfàs del Pi (l'),15557,2684
Algar de Palancia,8350,611
Algemesí,18479,1717
Algimia de Alfara,11775,664
Algimia de Almonacid,6106,1526
Alginet,18232,3146
Algorfa,9440,1504
Algueña,11161,2337
Alicante/Alacant,18176,3856
Almazora/Almassora,18876,4442
Almedíjar,4508,409
Almenara,16174,1822
Almiserà,1509,0
Almoines,14816,3512
Almoradí,18450,2697
Almudaina,1834,0
Almussafes,14322,2561
Almàssera,20731,2756
Alpuente,4409,157
Alqueria d'Asnar (l'),14807,2028
Alqueria de la Comtessa (l'),17045,4812
Alquerías del Niño Perdido,18727,5331
Altea,16184,3129
Altura,12302,1888
Alzira,15819,2000
Andilla,1623,974
Anna,23479,5583
Antella,8383,691
Aras de los Olmos,6406,2785
Arañuel,662,0
Ares del Maestrat,2717,0
Argelita,1587,793
Artana,29565,10025
Aspe,15506,2917
Atzeneta d'Albaida,16437,4905
Atzeneta del Maestrat,21779,2070
Ayora,24777,4164
Ayódar,17647,3267
Azuébar,11290,1290
Aín,4065,813
Balones,14062,781
Banyeres de Mariola,29153,6671
Barracas,16666,0
Barx,17114,3069
Barxeta,19609,4035
Bejís,5929,1078
Bellreguard,37397,11238
Bellús,6354,668
Benafer,2439,1219
Benafigos,1449,0
Benaguasil,17546,3402
Benagéber,12222,1111
Benasal,13358,1034
Benasau,3846,0
Benavites,14576,940
Beneixama,16686,6213
Beneixida,7496,956
Benejúzar,16964,3477
Benetússer,19300,1886
Benferri,11399,1526
Beniarbeig,6855,1111
Beniardá,2000,0
Beniarjó,20090,4301
Beniarrés,20109,4458
Beniatjar,15981,6849
Benicarló,20505,5196
Benicasim/Benicàssim,22397,5265
